FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,Airline,DelayMinutes
AA1234,09/01/2023,8:30 AM,09/01/2023,10:45 AM,American Airlines,15
DL5678,09/01/2023,1:15 PM,09/01/2023,3:30 PM,Delta,5
UA9101,09/01/2023,5:00 PM,09/01/2023,7:15 PM,United Airlines,25
AA1234,09/01/2023,8:30 AM,09/01/2023,10:45 PM,American Airlines,30
DL5678,09/02/2023,2:00 PM,09/02/2023,4:10 PM,Delta,
UA9101,09/02/2023,5:00 PM,09/02/2023,7:15 PM,United Airlines,20
AA1234,09/02/2023,8:30 PM,09/03/2023,10:45 AM,American Airlines,60
DL5678,09/03/2023,1:00 PM,09/03/2023,3:30 PM,Delta,10
UA9101,09/03/2023,3:00 PM,09/03/2023,5:20 PM,United Airlines,
AA1234,09/03/2023,8:30 AM,09/03/2023,10:00 AM,American Airlines,15
DL5678,09/04/2023,12:30 PM,09/04/2023,2:40 PM,Delta,25
UA9101,09/04/2023,7:00 PM,09/04/2023,9:15 PM,United Airlines,45
